CÓDIGO,NOME,DEFINIÇÃO,UNIDADE,FONTE
SN13,Número de Funcionários Nível Superior relacionados a saneamento,-,Funcionários,Prestador do serviço/ SNIS
SN14,Número de Funcionários Nível Técnico relacionados a saneamento,-,Funcionários,Prestador do serviço/ SNIS
SN15,Número de funcionários que receberam alguma qualificação em saneamento e ou meio ambiente,-,Funcionários,Prestador do serviço/ SNIS
SE1,Quantidade de Economias Residenciais Ativas de Água,Quantidade de residências com ligação de água ativa,Quantidade de economias residenciais ativas,Prestador do serviço/ SNIS
SE2,Quantidade de Economias Ativas de Água,Quantidade de economias ativas de água que contribuíram para o faturamento no último mês do ano,Quantidade de economias ativas de água,Prestador do serviço/ SNIS
SE3,Quantidade de Economias Ativas de Água Atingidas por Paralisações,Quantidade anual de economias ativas atingidas por paralisações no sistema de distribuição de água,Quantidade de economias ativas atingidas por paralisações,Prestador do serviço/ SNIS
SE4,Quantidade de Economias Ativas de Água Atingidas por Intermitências,Quantidade anual de economias ativas atingidas por interrupções no sistema de distribuição de água,Quantidade de economias ativas atingidas por interrupções,Prestador do serviço/ SNIS
SV1,Valor da tarifa social,-,Reais,Prestador do serviço/ SNIS
SS1,Média de renda das famílias assistidas por tarifa social,-,Reais,Prestador do serviço/ SNIS
ST4,Total de contas de taxa mínima com pagamento atrasado,-,Contas em atraso,Prestador do serviço/ SNIS
ST5,Total de residências que pagam a taxa mínima,-,Residências,Prestador do serviço/ SNIS
